Perturbation,tf_rank,rank,gene,score,raw_score,hub_penalty,is_transcription_factor
600,601,5277,ZNF775,-1.9454190731048584,-1.9454190731048584,0.0,True
601,602,5296,NR2E1,-1.9466813802719116,-1.9466813802719116,0.0,True
602,603,5323,MYSM1,-1.9486545324325562,-1.9486545324325562,0.0,True
603,604,5340,ELF2,-1.9496952295303345,-1.9496952295303345,0.0,True
604,605,5361,TLX3,-1.951675295829773,-1.951675295829773,0.0,True
605,606,5364,ASCL1,-1.951733946800232,-1.951733946800232,0.0,True
606,607,5378,POU4F3,-1.9521193504333496,-1.9521193504333496,0.0,True
607,608,5388,ZNF16,-1.9532732963562012,-1.9532732963562012,0.0,True
608,609,5391,ZNF85,-1.9536018371582031,-1.9536018371582031,0.0,True
609,610,5402,ZNF212,-1.9546200037002563,-1.9546200037002563,0.0,True
610,611,5405,TIGD1,-1.9550178050994873,-1.9550178050994873,0.0,True
611,612,5414,OLIG1,-1.955720067024231,-1.955720067024231,0.0,True
612,613,5433,ZNF394,-1.9578399658203125,-1.9578399658203125,0.0,True
613,614,5434,ZNF213,-1.9578399658203125,-1.9578399658203125,0.0,True
614,615,5461,SAFB2,-1.959470510482788,-1.959470510482788,0.0,True
615,616,5464,HEY2,-1.9597927331924438,-1.9597927331924438,0.0,True
616,617,5486,ZFP62,-1.9612314701080322,-1.9612314701080322,0.0,True
617,618,5492,ZNF71,-1.9615144729614258,-1.9615144729614258,0.0,True
618,619,5493,ZNF74,-1.9615144729614258,-1.9615144729614258,0.0,True
619,620,5496,ZNF70,-1.9615144729614258,-1.9615144729614258,0.0,True
620,621,5532,ZNF461,-1.9643440246582031,-1.9643440246582031,0.0,True
621,622,5557,ZNF136,-1.9652886390686035,-1.9652886390686035,0.0,True
622,623,5558,ZNF133,-1.9652886390686035,-1.9652886390686035,0.0,True
623,624,5559,ZNF138,-1.9652886390686035,-1.9652886390686035,0.0,True
624,625,5560,ZNF155,-1.9652886390686035,-1.9652886390686035,0.0,True
625,626,5561,ZNF132,-1.9652886390686035,-1.9652886390686035,0.0,True
626,627,5576,ZKSCAN3,-1.9664602279663086,-1.9664602279663086,0.0,True
627,628,5581,KLF11,-1.9667487144470215,-1.9667487144470215,0.0,True
628,629,5586,HOXD12,-1.9671540260314941,-1.9671540260314941,0.0,True
629,630,5622,TEAD2,-1.9694883823394775,-1.9694883823394775,0.0,True
630,631,5669,ERF,-1.9718888998031616,-1.9718888998031616,0.0,True
631,632,5677,ZBED9,-1.9721869230270386,-1.9721869230270386,0.0,True
632,633,5691,KLF1,-1.9730831384658813,-1.9730831384658813,0.0,True
633,634,5694,ZNF576,-1.973158359527588,-1.973158359527588,0.0,True
634,635,5695,ZNF664,-1.9731624126434326,-1.9731624126434326,0.0,True
635,636,5726,RAG1,-1.9756661653518677,-1.9756661653518677,0.0,True
636,637,5728,NKX2-5,-1.9757411479949951,-1.9757411479949951,0.0,True
637,638,5735,NR1H3,-1.9764848947525024,-1.9764848947525024,0.0,True
638,639,5739,ZNF32,-1.976637601852417,-1.976637601852417,0.0,True
639,640,5754,SLC2A4RG,-1.9773492813110352,-1.9773492813110352,0.0,True
640,641,5776,ZKSCAN4,-1.9787142276763916,-1.9787142276763916,0.0,True
641,642,5801,ZNF146,-1.9793094396591187,-1.9793094396591187,0.0,True
642,643,5804,ZNF234,-1.9793094396591187,-1.9793094396591187,0.0,True
643,644,5813,ZXDB,-1.9793094396591187,-1.9793094396591187,0.0,True
644,645,5814,AHRR,-1.9793145656585693,-1.9793145656585693,0.0,True
645,646,5840,ELK1,-1.981607437133789,-1.981607437133789,0.0,True
646,647,5853,ZNF41,-1.9829134941101074,-1.9829134941101074,0.0,True
647,648,5861,GSC,-1.9829950332641602,-1.9829950332641602,0.0,True
648,649,5871,TEAD3,-1.9835125207901,-1.9835125207901,0.0,True
649,650,5872,HOXD1,-1.9836750030517578,-1.9836750030517578,0.0,True
650,651,5884,KAT7,-1.9840366840362549,-1.9840366840362549,0.0,True
651,652,5891,RFX7,-1.9845409393310547,-1.9845409393310547,0.0,True
652,653,5893,PAX8,-1.9845551252365112,-1.9845551252365112,0.0,True
653,654,5909,ZNF608,-1.9857983589172363,-1.9857983589172363,0.0,True
654,655,5944,TCF23,-1.9875104427337646,-1.9875104427337646,0.0,True
655,656,5946,HMX2,-1.987605333328247,-1.987605333328247,0.0,True
656,657,5949,TAL1,-1.9877746105194092,-1.9877746105194092,0.0,True
657,658,5968,ZNF710,-1.9888384342193604,-1.9888384342193604,0.0,True
658,659,5973,TAL2,-1.98915433883667,-1.98915433883667,0.0,True
659,660,5980,PBX2,-1.9893308877944946,-1.9893308877944946,0.0,True
660,661,5993,ELK3,-1.9900161027908325,-1.9900161027908325,0.0,True
661,662,6015,ZBTB40,-1.990905523300171,-1.990905523300171,0.0,True
662,663,6016,BORCS8-MEF2B,-1.9909316301345825,-1.9909316301345825,0.0,True
663,664,6020,ELF4,-1.9912137985229492,-1.9912137985229492,0.0,True
664,665,6029,ZSCAN9,-1.9919497966766357,-1.9919497966766357,0.0,True
665,666,6037,GLI1,-1.992369532585144,-1.992369532585144,0.0,True
666,667,6040,WIZ,-1.9925169944763184,-1.9925169944763184,0.0,True
